source,scenario,region,technology,indicator,unit,_2020,_2030,_2050
WEO2021,NZE_2050,United States,Coal,Capacity factor,%,20,,
WEO2021,NZE_2050,United States,Gas CCGT,Capacity factor,%,55,25.0,
WEO2021,NZE_2050,United States,Solar PV,Capacity factor,%,21,22.0,23.0
WEO2021,NZE_2050,United States,Wind onshore,Capacity factor,%,42,43.0,44.0
WEO2021,NZE_2050,United States,Wind offshore,Capacity factor,%,42,46.0,48.0
WEO2021,NZE_2050,European Union,Nuclear,Capacity factor,%,75,75.0,70.0
WEO2021,NZE_2050,European Union,Coal,Capacity factor,%,20,,
WEO2021,NZE_2050,European Union,Gas CCGT,Capacity factor,%,40,20.0,
WEO2021,NZE_2050,European Union,Solar PV,Capacity factor,%,13,14.0,14.0
WEO2021,NZE_2050,European Union,Wind onshore,Capacity factor,%,29,30.0,31.0
WEO2021,NZE_2050,European Union,Wind offshore,Capacity factor,%,51,56.0,59.0
WEO2021,NZE_2050,China,Nuclear,Capacity factor,%,80,80.0,80.0
WEO2021,NZE_2050,China,Coal,Capacity factor,%,60,,
WEO2021,NZE_2050,China,Gas CCGT,Capacity factor,%,45,35.0,
WEO2021,NZE_2050,China,Solar PV,Capacity factor,%,17,18.0,19.0
WEO2021,NZE_2050,China,Wind onshore,Capacity factor,%,26,27.0,27.0
WEO2021,NZE_2050,China,Wind offshore,Capacity factor,%,34,41.0,43.0
WEO2021,NZE_2050,India,Nuclear,Capacity factor,%,70,70.0,70.0
WEO2021,NZE_2050,India,Coal,Capacity factor,%,50,,
WEO2021,NZE_2050,India,Gas CCGT,Capacity factor,%,55,50.0,
WEO2021,NZE_2050,India,Solar PV,Capacity factor,%,20,21.0,21.0
WEO2021,NZE_2050,India,Wind onshore,Capacity factor,%,26,28.0,29.0
WEO2021,NZE_2050,India,Wind offshore,Capacity factor,%,32,37.0,38.0
WEO2021,NZE_2050,United States,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,NZE_2050,United States,Coal,Fuel and O&M,$/MWh,90,170.0,235.0
WEO2021,NZE_2050,United States,Gas CCGT,Fuel and O&M,$/MWh,50,80.0,105.0
WEO2021,NZE_2050,United States,Solar PV,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,United States,Wind onshore,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,United States,Wind offshore,Fuel and O&M,$/MWh,35,20.0,15.0
WEO2021,NZE_2050,European Union,Nuclear,Fuel and O&M,$/MWh,35,35.0,35.0
WEO2021,NZE_2050,European Union,Coal,Fuel and O&M,$/MWh,120,205.0,275.0
WEO2021,NZE_2050,European Union,Gas CCGT,Fuel and O&M,$/MWh,65,95.0,120.0
WEO2021,NZE_2050,European Union,Solar PV,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,European Union,Wind onshore,Fuel and O&M,$/MWh,15,15.0,15.0
WEO2021,NZE_2050,European Union,Wind offshore,Fuel and O&M,$/MWh,15,10.0,5.0
WEO2021,NZE_2050,China,Nuclear,Fuel and O&M,$/MWh,25,25.0,25.0
WEO2021,NZE_2050,China,Coal,Fuel and O&M,$/MWh,75,135.0,195.0
WEO2021,NZE_2050,China,Gas CCGT,Fuel and O&M,$/MWh,75,100.0,120.0
WEO2021,NZE_2050,China,Solar PV,Fuel and O&M,$/MWh,10,5.0,5.0
WEO2021,NZE_2050,China,Wind onshore,Fuel and O&M,$/MWh,15,10.0,10.0
WEO2021,NZE_2050,China,Wind offshore,Fuel and O&M,$/MWh,25,15.0,10.0
WEO2021,NZE_2050,India,Nuclear,Fuel and O&M,$/MWh,30,30.0,30.0
WEO2021,NZE_2050,India,Coal,Fuel and O&M,$/MWh,35,50.0,75.0
WEO2021,NZE_2050,India,Gas CCGT,Fuel and O&M,$/MWh,45,45.0,50.0
WEO2021,NZE_2050,India,Solar PV,Fuel and O&M,$/MWh,5,5.0,5.0
WEO2021,NZE_2050,India,Wind onshore,Fuel and O&M,$/MWh,10,10.0,10.0
WEO2021,NZE_2050,India,Wind offshore,Fuel and O&M,$/MWh,25,15.0,10.0
WEO2021,NZE_2050,United States,Nuclear,LCOE,$/MWh,105,110.0,110.0
WEO2021,NZE_2050,United States,Coal,LCOE,$/MWh,220,,
WEO2021,NZE_2050,United States,Gas CCGT,LCOE,$/MWh,70,125.0,
WEO2021,NZE_2050,United States,Solar PV,LCOE,$/MWh,50,30.0,20.0
WEO2021,NZE_2050,United States,Wind onshore,LCOE,$/MWh,35,35.0,30.0
WEO2021,NZE_2050,United States,Wind offshore,LCOE,$/MWh,115,60.0,40.0
WEO2021,NZE_2050,European Union,Nuclear,LCOE,$/MWh,150,120.0,115.0
WEO2021,NZE_2050,European Union,Coal,LCOE,$/MWh,250,,
WEO2021,NZE_2050,European Union,Gas CCGT,LCOE,$/MWh,100,115.0,
WEO2021,NZE_2050,European Union,Solar PV,LCOE,$/MWh,55,35.0,25.0
WEO2021,NZE_2050,European Union,Wind onshore,LCOE,$/MWh,55,45.0,40.0
WEO2021,NZE_2050,European Union,Wind offshore,LCOE,$/MWh,75,40.0,25.0
WEO2021,NZE_2050,China,Nuclear,LCOE,$/MWh,65,65.0,60.0
WEO2021,NZE_2050,China,Coal,LCOE,$/MWh,90,,
WEO2021,NZE_2050,China,Gas CCGT,LCOE,$/MWh,90,115.0,
WEO2021,NZE_2050,China,Solar PV,LCOE,$/MWh,40,25.0,15.0
WEO2021,NZE_2050,China,Wind onshore,LCOE,$/MWh,45,40.0,40.0
WEO2021,NZE_2050,China,Wind offshore,LCOE,$/MWh,95,45.0,30.0
WEO2021,NZE_2050,India,Nuclear,LCOE,$/MWh,75,75.0,75.0
WEO2021,NZE_2050,India,Coal,LCOE,$/MWh,65,,
WEO2021,NZE_2050,India,Gas CCGT,LCOE,$/MWh,55,60.0,
WEO2021,NZE_2050,India,Solar PV,LCOE,$/MWh,35,20.0,15.0
WEO2021,NZE_2050,India,Wind onshore,LCOE,$/MWh,50,45.0,40.0
WEO2021,NZE_2050,India,Wind offshore,LCOE,$/MWh,130,70.0,45.0
